GO:0005215	F	0.05	transporter activity
GO:0022857	F	0.04	transmembrane transporter activity
GO:0022892	F	0.03	substrate-specific transporter activity
GO:0003824	F	0.03	catalytic activity
GO:0022891	F	0.02	substrate-specific transmembrane transporter activity
GO:0051536	F	0.01	iron-sulfur cluster binding
GO:0046943	F	0.01	carboxylic acid transmembrane transporter activity
GO:0043024	F	0.01	ribosomal small subunit binding
GO:0042802	F	0.01	identical protein binding
GO:0016788	F	0.01	hydrolase activity, acting on ester bonds
